127.0.0.1 - - [05/Feb/2024:14:10:51 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:11:20 +0530] "GET /HelloWorldApp/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:11:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:11:42 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 74
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:13:52 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:14:09 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 115
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:14:18 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:14:36 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:14:59 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 117
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:15:55 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:16:40 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:16:41 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:16:42 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:16:42 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:17:55 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:18:29 +0530] "GET /HelloWorldApp/ HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:18:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Feb/2024:14:18:55 +0530] "GET /HelloWorldApp/test HTTP/1.1" 200 118
